Shop,Location,Open Since,Contact
"<a href=""https://nugrocery.com"" target=""_blank"">NU Grocery

<img src=""https://bepakt.com/wp-content/uploads/2018/03/NU.png"" height=70 width=70></a>

","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.it/maps/place/NU+Grocery/@45.401754,-75.7289029,17z/data=!4m13!1m7!3m6!1s0x4cce043c1a61b2f3:0x7036a5b89d9baf39!2s1130+Wellington+St+W,+Ottawa,+ON+K1Y+1P1,+Canada!3b1!8m2!3d45.4017503!4d-75.7267089!3m4!1s0x4cce043c1b7f6d5b:0x1ea7aaf9bd40a011!8m2!3d45.40175!4d-75.726709"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Ottawa [K1Y 1P1]
<i>1130 Wellington West</i>",19-Aug-2017,"<a href=""https://nugrocery.com"" target=""_blank"">www.nugrocery.com</a>
<a href=""mailto:info@nugrocery.com"">info@nugrocery.com</a>
+1 (613) 792-1995

<a href=""https://www.facebook.com/nugrocery/?ref=br_rs"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/nugrocery/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.butterblume-kassel.de"" target=""_blank"">Butterblume

<img src=""https://www.bepakt.com/images/logo_butterblume.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Butterblume/@51.3052314,9.4834579,17z/data=!3m1!4b1!4m5!3m4!1s0x4171b7f24f9a7749:0x8c4259afbb79c9a7!8m2!3d51.3052314!4d9.4856466"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Kassel [34121]
<i>Frankfurter Straße 73</i>","19-Aug-2017

<span style=""color:orange""> (Planned to close mid Sept 2018)</span>","www.butterblume-kassel.de
+49 561 49942070

facebook.com/ButterblumeKassel"
"<a href=""https://www.tante-hanna-laden.at"" target=""_blank"">Tante Hanna

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/hanna.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/austria.gif"" style=""width:20px; padding-right:2px;""> <b>Austria</b>

<a href=""https://www.google.com/maps/place/Tante+Hanna+Laden/@48.1696002,14.5113552,17z/data=!3m1!4b1!4m5!3m4!1s0x4773b7729a0ebfcd:0x10df15a48abdbc17!8m2!3d48.1695966!4d14.5135491"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> St. Valentin [4300]
<i>Werkstraße 13</i>",21-Aug-2017,"<a href=""https://www.tante-hanna-laden.at"" target=""_blank"">www.tante-hanna-laden.at</a>
+43 699 17280248

<a href=""https://www.facebook.com/TanteHannaLaden/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""http://www.lanacional.cl/home.html"" target=""_blank"">La Nacional Granel Selecto

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/la-nacional.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/chile.png"" style=""width:20px; padding-right:2px;""> <b>Chile</b>

<a href=""https://www.google.com/maps/place/La+Nacional+Granel+Selecto/@-33.4311615,-70.6181557,17z/data=!3m1!4b1!4m5!3m4!1s0x9662cf7c99537e2b:0xb33aabb9ca60ed2c!8m2!3d-33.431166!4d-70.615967"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Santiago del Chile (Providencia) [7500000]
<i>Galvarino Gallardo 1522 local 108</i>",22-Aug-2017,"<a href=""http://www.lanacional.cl/home.html"" target=""_blank"">www.lanacional.cl/home.html</a>
<a href=""mailto:lanacionalgranel@gmail.com"">ilanacionalgranel@gmail.com</a>
+56 9 5365 7742

<a href=""https://www.facebook.com/lanacionalgranel/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/lanacionalgranel/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.bulkmarket.uk/"" target=""_blank"">Bulk Market

<img src=""https://www.bepakt.com/images/logo_bulk_market_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" style=""width:20px; padding-right:2px;""> <b>United Kingdom</b>

 <a href=""https://www.google.com/maps/place/Bulk+Market/@51.5435937,-0.0780707,17z/data=!3m1!4b1!4m5!3m4!1s0x48761c93d3da1b19:0x61a5bd9cecb1eb0a!8m2!3d51.5435937!4d-0.075882"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> London [E8 4AE]
<i>494 Kingsland Rd</i>",26-Aug-2017,"<a href=""http://www.bulkmarket.uk/"" target=""_blank"">www.bulkmarket.uk</a>

<a href=""http://www.facebook.com/bulkmarketuk"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""http://www.twitter.com/bulkmarketuk"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://instagram.com/bulkmarketuk/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
"<a href=""http://www.livezero.hk"" target=""_blank"">Live Zero

<img src=""https://www.bepakt.com/images/logo_livezero.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/hong_kong.png"" style=""width:20px; padding-right:2px;""> <b>Hong Kong</b>

<a href=""https://www.google.com/maps/place/Live+Zero+-+PMQ/@22.2833614,114.1498749,17z/data=!3m1!4b1!4m5!3m4!1s0x3404007b8f6fffff:0x6d88238446c9c08d!8m2!3d22.2833614!4d114.1520636"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Sai Ying Pun
<i>24 High St</i>",1-Sep-2017,"www.livezero.hk
hello@livezero.hk

facebook.com/livezero.hk
instagram.com/livezero.hk
"
"<a href=""http://www.palette-bern.ch"" target=""_blank"">Palette

<img src=""https://www.bepakt.com/images/logo_palette_bern.png"" height=70 width=70></a>


","<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""width:20px; padding-right:2px;""> <b>Switzerland</b>

Bern",5-Sep-2017,"<a href=""http://www.palette-bern.ch"" target=""_blank"">www.palette-bern.ch</a>"
"<a href=""http://www.prostejovbezobalu.cz"" target=""_blank"">Bez Obalu v srdci Hané

<img src=""https://www.bepakt.com/images/logo_hane.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/czech.png"" style=""width:20px; padding-right:2px;""> <b>Czech Republic</b>

<a href=""https://www.google.com/maps/place/Bez+Obalu+v+srdci+Hané/@49.4726408,17.1060287,17z/data=!3m1!4b1!4m5!3m4!1s0x471257443b570f69:0x5547c11ff0b4fb3b!8m2!3d49.4726408!4d17.1082174?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Prostějov [796 01]
<i>Kravařova 187/8</i>

",6-Sep-2017,"www.prostejovbezobalu.cz
info@prostejovbezobalu.cz
+420 603 399 621

<a href=""http://www.facebook.com/prostejovbezobalu.cz"" target=""_blank"">facebook</a>
"
"<a href=""http://www.frauernas.de"" target=""_blank"">Frau Ernas

<img src=""https://www.bepakt.com/images/logo_frau_ernas.jpg"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

Magdeburg",17-Sep-2017,"<a href=""http://www.frauernas.de"" target=""_blank"">www.frauernas.de</a>"
"<a href=""http://jihlavabezobalu.cz"" target=""_blank"">Cerny Bez

(ČERNÝ BEZ)

<img src=""https://www.bepakt.com/images/logo_cerny_bez.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/czech.png"" style=""width:20px; padding-right:2px;""> <b>Czech Republic</b>

<a href=""https://www.google.com/maps/place/Černý+bez,+Bezobalový+obchod/@49.3949551,15.5858761,17z/data=!3m1!4b1!4m5!3m4!1s0x470d1a6ca0670421:0x429cdb0823cf3807!8m2!3d49.3949551!4d15.5880648?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Jihlava [586 01]
<i>Minoritské nám. 1158/1</i>",18-Sep-2017,"www.jihlavabezobalu.cz
info@jihlavabezobalu.cz
+420 704 788 338

facebook.com/jihlavabezobalu"
"<a href=""https://www.facebook.com/legrammedefolie/"" target=""_blank"">Le Gramme de Folie

<img src=""https://www.bepakt.com/images/logo_le_gramme_de_folie.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/Le+Gramme+de+Folie/@48.6830529,6.1696497,17z/data=!3m1!4b1!4m5!3m4!1s0x479498798ec73db9:0xb6fcf1d744884558!8m2!3d48.6830529!4d6.1718384"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Nancy [54000]
<i>95 Rue de Mon Désert</i>","19-Sep-2017

<b><span style=""color:red"">Closed 20-Oct-2018</span></b>","+33 9 86 20 75 29

<a href=""http://www.facebook.com/legrammedefolie/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://zerohero-nuernberg.de"" target=""_blank"">ZeroHero - Unverpackt Nürnberg

<img src=""https://www.bepakt.com/images/logo_zerohero_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

 <a href=""https://www.google.com/maps/place/ZeroHero+GmbH/@49.4534638,11.0404433,15z/data=!4m8!1m2!2m1!1szero+hero!3m4!1s0x479f57830dd40c47:0x1dc8b5cd14aa2298!8m2!3d49.4486154!4d11.058692?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Nürnberg [90429]
<i>Obere Kanalstraße 11A</i>

",21-Sep-2017,"<a href=""http://zerohero-nuernberg.de"" target=""_blank"">www.zerohero-nuernberg.de</a>
<a href=""mailto:helden@zerohero-nuernberg.de"">helden@zerohero-nuernberg.de</a>
+49 911 132 108 42

<a href=""https://www.facebook.com/unverpacktnuernberg/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/zeroheronbg"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/zerohero_ehrlich_unverpackt/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.startnext.com/zerohero"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_startnext_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/Bez-obalu-HK-307847816306489/"" target=""_blank"">Bez obalu HK

<img src=""https://www.bepakt.com/images/logo_hk.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/czech.png"" style=""width:20px; padding-right:2px;""> <b>Czech Republic</b>

<a href=""https://www.google.com/maps/place/Bez+obalu+HK/@50.1995888,15.8557817,17z/data=!3m1!4b1!4m5!3m4!1s0x470dd4c1836c058f:0xbeae98ab190e1122!8m2!3d50.1995888!4d15.8579704?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a>Nový Hradec Králové [500 09]
<i>Mrštíkova 1122/40</i>",25-Sep-2017,"<a href=""mailto:bezobaluhk@email.cz"">bezobaluhk@email.cz</a>
+420 725 284 269

<a href=""https://www.facebook.com/Bez-obalu-HK-307847816306489/"" target=""_blank"">facebook</a>"
"<a href=""https://unverpackt-landau.de"" target=""_blank"">Unverpackt Landau

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/unverp-Landau.jpg"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Unverpackt+Landau/@49.1963145,8.110697,17z/data=!3m1!4b1!4m5!3m4!1s0x479650f3f1f9a53d:0x4419063e257ea0e0!8m2!3d49.196311!4d8.112891"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Landau in der Pfalz [76829]
<i>Gegenüber von C&A, Kronstraße 34</i>",29-Sep-2017,"<a href=""https://unverpackt-landau.de"" target=""_blank"">www.unverpackt-landau.de</a>
<a href=""mailto:info@unverpackt-landau.de"">info@unverpackt-landau.de
</a>
+49 6341 9029515

<a href=""https://www.facebook.com/unverpacktlandau/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/unverpacktlandau/?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://tante-emmer.com"" target=""_blank"">TanteEmmer

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/tanteemmer.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/tante+emmer/@48.5741843,13.4595604,17z/data=!3m1!4b1!4m5!3m4!1s0x477458a9c33d750d:0xe768d9f7ca766f4!8m2!3d48.5741808!4d13.4617491"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Passau [94032]
<i>Grabengasse 23</i>",29-Sep-2017,"<a href=""http://tante-emmer.com""target=""_blank"">www.tante-emmer.com</a>
<a href=""mailto:unverpackt@tante-emmer.com"">
unverpackt@tante-emmer.com</a>
+49 851 21376426

<a href=""https://www.facebook.com/tanteemmer.unverpackt.bio/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""http://www.plietsch-unverpackt.de"" target=""_blank"">Plietsch

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/plietsch.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/plietsch.+natürlich+unverpackt/@53.2443562,10.3993659,17z/data=!3m1!4b1!4m5!3m4!1s0x47b1ddcbd07c4753:0x1fd204398551df45!8m2!3d53.244353!4d10.40156"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Lüneburg [21335]
<i>Sülztorstraße 18</i>",30-Sep-2017,"<a href=""http://www.plietsch-unverpackt.de"" target=""_blank"">www.plietsch-unverpackt.de</a>
<a href=""mailto:info@plietsch-unverpackt.de
"">info@plietsch-unverpackt.de</a>
+49 163 9725732

<a href=""https://www.facebook.com/plietschunverpackt/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/plietsch.unverpackt/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://lieberohne.at"" target=""_blank"">Lieber Ohne

<img src=""https://bepakt.com/images/logo_lieber_ohne.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/austria.gif"" style=""width:20px; padding-right:2px;""> <b>Austria</b>

<a href=""https://www.google.it/maps/place/Lieber+Ohne+-+bio,+regional+%26+unverpackt/@48.1957972,16.3467477,17z/data=!3m1!4b1!4m5!3m4!1s0x476d078bd3337647:0xcaa3873d245f1f3!8m2!3d48.1957936!4d16.3489417"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Vienna [1060]
<i>Otto-Bauer-Gasse 10</i>",(?)-Oct-2017,"<a href=""http://lieberohne.at"" target=""_blank"">www.lieberohne.at</a>
<a href=""mailto:hallo@lieberohne.at"">hallo@lieberohne.at</a>

<a href=""https://www.facebook.com/lieberohneunverpackt/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/lieberohne/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.i-lade.ch"" target=""_blank"">i-lade

<img src=""https://www.bepakt.com/images/logo_i-lade.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""width:20px; padding-right:2px;""> <b>Switzerland</b>

<a href=""https://www.google.com/maps/place/i-lade,+allerlei+verpackungsfrei/@46.9259681,7.431678,17z/data=!3m1!4b1!4m5!3m4!1s0x478e38485a366ef3:0x1cde477bde300772!8m2!3d46.9259681!4d7.4338667"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Köniz [3095 / Spiegel bei Bern]
<i>Spiegelstrasse 96</i>",17-Oct-2017,"<a href=""http://www.i-lade.ch"" target=""_blank"">www.i-lade.ch</a>
<a href=""mailto:info@i-lade.ch"">info@i-lade.ch</a>
(Isabelle Hengrave)


<a href=""https://www.facebook.com/unverpackt.ilade"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/i_lade_spiegel/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://tarraverpakkingsvrij.com"" target=""_blank"">Tarra Verpakkingsvrij

<img src=""https://www.bepakt.com/images/logo_tarra_verpakkingsvrij.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Tarra+Verpakkingsvrij/@51.0287577,4.1787923,17z/data=!4m12!1m6!3m5!1s0x47c393839f3ae0bb:0xf9931f9e72ec0cce!2sTarra+Verpakkingsvrij!8m2!3d51.0287577!4d4.1809863!3m4!1s0x47c393839f3ae0bb:0xf9931f9e72ec0cce!8m2!3d51.0287577!4d4.1809863?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Buggenhout [9255]
<i>Provincialebaan 2</i>",28-Oct-2017,"<a href=""http://tarraverpakkingsvrij.com"" target=""_blank"">tarraverpakkingsvrij.com</a>
<a href=""mailto:nora@tarraverpakkingsvrij.com"">nora@tarraverpakkingsvrij.com</a>
+32 496 31 15 45
(Nora Lorré)

<a href=""https://www.facebook.com/tarraverpakkingsvrij/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/kredenc.frenstat"" target=""_blank"">Kredenc - bez obalu

<img src=""https://www.bepakt.com/images/logo_kredenc.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/czech.png"" style=""width:20px; padding-right:2px;""> <b>Czech Republic</b>

Frenštát pod Radhoštěm [744 01]
<i>Horní 60</i>",6-Nov-2017,"<a href=""mailto:kredenc.prodejna@gmail.com"">kredenc.prodejna@gmail.com</a>

<a href=""https://www.facebook.com/kredenc.frenstat"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/botanicagranel/"" target=""_blank"">Botánica Granel

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/botanica.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/mexico.png"" style=""width:20px; padding-right:2px;""> <b>Mexico</b>

<a href=""https://www.google.com/maps/place/Botánica+Granel/@19.4137475,-99.1779964,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff447f18b885:0x111289713ca9b806!8m2!3d19.4137475!4d-99.1758077"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Mexico City [06140]
<i>Fernando Montes de Oca 69</i>",13-Nov-2017,"<a href=""mailto:contacto@botanicagranel.mx"">contacto@botanicagranel.mx</a>
+52 55 8437 0937

<a href=""https://www.facebook.com/botanicagranel/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/botanicagranel/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.verpot.nl"" target=""_blank"">VerPot

<img src=""https://www.bepakt.com/images/logo_verpot.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=19 height=10 style=""width:20px; padding-right:2px;""> <b>Netherlands</b>

Leiden

(online, bicycle delivery)",1-Dec-2017,"<a href=""http://www.verpot.nl"" target=""_blank"">www.verpot.nl</a>

<a href=""http://www.facebook.com/VerPotsupermarkt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> 
"
"<a href=""https://www.facebook.com/pg/Lieber-unverpackt-1740050029593565"" target=""_blank"">Lieber unverpackt

<img src=""https://www.bepakt.com/images/logo_lieber_unverpackt_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Lieber+Unverpackt/@51.5167,6.3224113,17z/data=!3m1!4b1!4m5!3m4!1s0x47c7609c5bbfd939:0x6c364447787b0f22!8m2!3d51.5167!4d6.3246726408!4d17.1082174?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Geldern [47608]
<i>Heilig-Geist-Gasse 5</i>
",2-Dec-2017,"<a href=""mailto:lieber-unverpackt@gmx.de"">lieber-unverpackt@gmx.de</a>
+49 283 191 036 02

<a href=""http://www.facebook.com/pg/Lieber-unverpackt-1740050029593565/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> 
"
"<a href=""http://www.hetu.co.uk"" target=""_blank"">Hetu

<img src=""https://www.bepakt.com/images/logo_hetu.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" style=""width:20px; padding-right:2px;""> <b>United Kingdom</b>

 <a href=""https://www.google.com/maps/place/Hetu+-+Vegan+Zero+Waste+Store/@51.4598115,-0.1805547,17z/data=!3m1!4b1!4m5!3m4!1s0x4876058facef1743:0xc3de0e19f5f3e834!8m2!3d51.4598115!4d-0.178366"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> London [SW11 1TH]
<i>201 St John's Hill</i>",3-Dec-2017,"<a href=""http://www.hetu.co.uk"" target=""_blank"">www.hetu.co.uk</a>
<a href=""mailto:hello@hetu.co.uk"">hello@hetu.co.uk</a>
+44 (0)7391 700816   

<a href=""https://www.facebook.com/hetu.vegan.zero.waste/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/hetu_uk"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://instagram.com/hetu_uk"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
"<a href=""https://www.facebook.com/ladoverdegdl/"" target=""_blank"">Lado Verde Gdl

<img src=""https://www.bepakt.com/images/logo_lado_verde.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/mexico.png"" style=""width:20px; padding-right:2px;""> <b>Mexico</b>

<a href=""https://www.google.com/maps/place/Lado+Verde/@20.7070412,-103.3842435,17z/data=!3m1!4b1!4m5!3m4!1s0x8428ae4a810e0b27:0xee11c86adda6c781!8m2!3d20.7070412!4d-103.3820548"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Guadalajara (Jalisco)
[44630 / Colomos Providencia]
<i>Brasilia 2876</i>",4-Dec-2017,"<a href=""mailto:ladoverdegdl@gmail.com"">ladoverdegdl@gmail.com</a>

<a href=""http://www.facebook.com/ladoverdegdl"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>
"
"<a href=""https://www.facebook.com/Natürlich-unverpackt-585324031859086/"" target=""_blank"">Natürlich & unverpackt

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/naturalich.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/natürlich+%26+unverpackt/@50.732373,12.3737416,17z/data=!3m1!4b1!4m5!3m4!1s0x47a72a564c8d4a0b:0x3d084383e79a39c0!8m2!3d50.7323696!4d12.3759303"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Werdau [08412]
<i>Poststraße 1</i>",11-Dec-2017,"<a href=""mailto:natuerlichundunverpackt@gmail.com"">natuerlichundunverpackt@gmail.com</a>
+49 171 3334008

<a href=""https://www.facebook.com/Natürlich-unverpackt-585324031859086/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""https://www.fillgood.co"" target=""_blank"">fillgood.co

<img src=""https://www.bepakt.com/images/logo_fillgood.co.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/united_states.gif"" style=""width:20px; padding-right:2px;""> <b>United States </b>

San Francisco Bay Area
Delivery/Return Service

",14-Dec-2017,"<a href=""https://www.fillgood.co"" target=""_blank"">www.fillgood.co</a>
<a href=""mailto:contact@fillgood.co"">contact@fillgood.co</a>

<a href=""https://www.facebook.com/fillgood.co"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/StephanieRegni"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>  <a href=""https://instagram.com/fillgood.co"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""https://wohlgefuehl-unverpackt.de/konzept/"" target=""_blank"">Wohlgefühl

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/wohleful.jpg"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Wohlgefühl+-+unverpackt+%26+plastikfrei/@47.782682,9.6081322,17z/data=!3m1!4b1!4m5!3m4!1s0x479baee3cdbad6ad:0x812c3a96a8a34a90!8m2!3d47.7826784!4d9.6103209"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Ravensburg [88212]
<i>Untere Breite Straße 23</i>",16-Dec-2017,"<a href=""https://wohlgefuehl-unverpackt.de"" target=""_blank"">www.wohlgefuehl-unverpackt.de</a>
<a href=""mailto:hallo@wohlgefuehl-unverpackt.de"">hallo@wohlgefuehl-unverpackt.de</a>
+49 751 95864995

<a href=""https://www.facebook.com/lara.mora.SintNiklaas/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/wohlgefuehl_ravensburg/?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
